type,priority,storyPoints,complexityScore,riskLevel,hasBlockingDependencies,dependenciesCount,memberLevel,memberAvgCompletionHours,memberAvgDelayHours,memberCompletedTasksCount,memberAvgReopenRate,memberCurrentWorkload,memberAvgWorkLogHours,memberAvgStoryPoints,actualHours
Improvement,Medium,2,4,4,1,0,Senior,20.29,2.21,58,0.092,1,1.57,4.13,21.84
Bug,Medium,3,2,2,1,0,Senior,12.27,0.08,7,0.079,0,23.82,2.42,12.35
Feature,Medium,5,4,1,0,2,Senior,30.12,6.79,65,0.391,2,5.38,2.64,45.07
Spike,Medium,8,1,1,0,0,Senior,32.6,2.39,36,0.435,14,27.73,3.46,45.47
Feature,Low,3,2,1,1,2,Senior,33.25,6.3,98,0.036,14,26.15,4.35,19.83
Spike,Medium,5,3,5,0,0,Senior,13.28,7.03,55,0.382,9,7.2,4.53,34.62
Feature,High,3,2,1,0,0,Junior,12.42,0.2,60,0.212,11,26.74,5.49,19.46
Technical Debt,High,5,5,4,1,1,Senior,27.72,1.24,85,0.352,11,27.87,9.35,130.63
Bug,Medium,21,2,4,0,3,Junior,37.27,2.02,64,0.067,0,32.47,9.94,58.61
Technical Debt,Medium,1,3,5,0,1,Expert,11.66,1.24,41,0.487,12,25.63,1.18,11.28
Spike,Medium,8,5,4,0,1,Expert,36.6,0.29,96,0.441,3,30.5,5.44,69.23
Feature,Medium,5,4,4,0,2,Senior,24.48,0.55,48,0.203,3,22.67,7.77,38.61
Spike,Low,3,2,2,0,2,Senior,30.04,3.49,67,0.447,5,22.27,1.66,23.6
Feature,High,13,4,1,0,0,Senior,18.72,5.62,8,0.447,11,23.96,9.47,47.81
Feature,Medium,3,2,2,0,1,Senior,32.66,0.27,7,0.231,2,14.82,9.44,11.69
Feature,Medium,3,1,2,0,3,Junior,38.88,0.44,57,0.473,12,8.77,2.88,18.1
Bug,Medium,2,1,4,0,1,Junior,8.48,1.67,85,0.488,14,15.05,8.07,11.94
Feature,Low,2,3,3,0,2,Expert,16.65,0.74,53,0.109,8,21.18,6.23,8.15
Bug,High,8,1,1,0,0,Junior,34.77,5.29,84,0.033,5,24.46,1.31,30.01
Bug,Low,5,5,3,0,0,Senior,8.71,4.92,47,0.166,13,16.53,3.68,31.29
Improvement,Low,13,5,4,0,1,Expert,17.69,1.1,53,0.244,6,12.22,3.37,39.0
Technical Debt,High,2,2,5,0,0,Senior,8.31,3.36,27,0.046,5,9.39,8.92,12.78
Bug,Medium,2,4,2,1,2,Senior,26.64,1.58,65,0.07,8,7.23,9.08,14.01
Feature,High,1,5,4,0,4,Expert,11.06,3.85,80,0.486,1,17.2,1.31,10.33
Feature,High,5,2,4,0,2,Senior,16.47,3.11,30,0.369,10,25.02,7.67,32.74
Feature,Medium,21,4,3,0,4,Senior,20.66,5.65,12,0.437,13,29.21,2.08,66.62
Feature,High,5,1,5,0,0,Junior,13.29,2.34,58,0.486,7,12.74,8.12,23.9
Feature,Low,3,2,2,0,2,Senior,27.84,1.68,81,0.189,4,21.78,8.61,12.18
Feature,Medium,8,4,5,0,0,Junior,6.23,1.69,87,0.344,1,17.24,1.53,19.29
Spike,Medium,8,3,5,0,0,Junior,35.43,4.07,30,0.092,12,33.85,3.94,114.88
Bug,Medium,1,3,5,1,1,Senior,20.29,6.43,32,0.276,6,31.0,4.42,11.07
Feature,High,8,5,1,0,0,Senior,23.77,0.59,52,0.105,11,31.0,9.6,49.84
Bug,High,3,4,5,1,3,Expert,25.64,0.25,94,0.08,4,20.69,4.34,22.32
Feature,Critical,2,3,4,0,0,Junior,4.27,1.3,90,0.049,7,15.85,3.3,8.48
Bug,High,2,5,1,0,3,Senior,30.77,8.04,35,0.29,13,23.16,6.58,21.68
Bug,Medium,3,2,1,0,0,Junior,37.95,4.04,84,0.475,9,6.43,2.43,18.39
Bug,Medium,3,2,5,0,2,Expert,21.76,6.21,68,0.061,10,31.02,6.63,13.32
Bug,Medium,3,4,4,0,2,Senior,16.85,5.09,74,0.251,5,10.22,5.13,22.49
Spike,Medium,2,4,2,0,1,Junior,31.82,1.76,97,0.344,6,29.11,7.58,31.44
Technical Debt,Medium,8,4,5,0,0,Senior,29.37,2.97,33,0.248,10,11.15,6.21,75.69
Bug,Critical,21,4,1,0,2,Expert,26.74,0.33,60,0.456,11,18.75,2.59,50.27
Bug,Medium,8,3,2,0,0,Expert,38.68,4.21,59,0.083,0,27.26,9.44,31.92
Bug,Medium,3,3,2,0,1,Junior,24.11,0.55,2,0.012,1,14.39,5.04,14.74
Feature,Medium,2,5,1,0,1,Senior,11.44,1.72,5,0.192,8,13.17,7.7,16.15
Feature,High,2,3,2,1,0,Senior,2.94,1.77,19,0.278,14,31.19,5.79,8.88
Feature,High,2,2,4,1,0,Senior,19.23,0.05,3,0.127,6,3.34,8.79,16.53
Bug,High,5,5,4,1,0,Senior,26.79,1.16,52,0.084,6,29.61,4.03,62.25
Bug,Medium,5,3,5,0,3,Senior,8.54,1.4,70,0.402,3,32.56,6.75,17.22
Feature,High,5,4,5,0,1,Expert,2.98,3.74,61,0.094,12,20.15,1.71,9.42
Spike,Low,5,3,2,0,2,Expert,36.55,4.93,80,0.221,12,24.66,1.7,34.21
Spike,High,3,1,1,0,1,Senior,13.47,1.01,37,0.477,3,30.29,8.59,14.11
Improvement,Medium,3,5,4,0,3,Senior,19.71,2.97,35,0.306,2,15.81,8.37,30.33
Bug,Medium,5,3,3,0,0,Senior,5.46,2.92,33,0.249,9,30.88,4.23,10.86
Technical Debt,Medium,3,3,5,0,0,Junior,16.5,3.05,5,0.18,3,13.66,7.08,36.34
Feature,High,2,2,4,0,2,Senior,18.1,3.67,65,0.26,11,11.42,8.46,19.54
Improvement,Low,3,4,2,1,1,Senior,36.3,1.88,17,0.367,9,34.43,2.29,28.7
Feature,High,3,4,4,0,1,Junior,34.89,3.42,26,0.411,5,2.06,9.86,46.8
Improvement,Medium,1,2,4,0,0,Expert,9.18,1.95,38,0.325,10,11.87,8.97,5.08
Feature,Medium,8,2,2,0,0,Expert,23.13,2.74,50,0.395,2,16.59,7.22,26.33
Technical Debt,Low,8,1,5,0,0,Expert,29.79,1.3,18,0.044,9,11.57,5.89,29.08
Spike,Medium,2,5,5,0,1,Senior,13.09,4.63,95,0.007,7,10.59,9.05,31.6
Feature,Medium,1,4,3,0,1,Senior,16.99,3.09,87,0.367,0,13.6,7.65,8.68
Bug,Medium,5,2,3,0,0,Expert,39.43,3.65,33,0.131,5,14.53,6.26,18.88
Spike,High,2,2,5,1,1,Junior,30.87,6.13,88,0.439,12,3.43,9.02,55.46
Bug,Medium,3,5,5,0,0,Senior,18.61,3.34,23,0.268,1,27.36,2.9,24.62
Technical Debt,Critical,1,2,5,0,1,Expert,22.3,2.68,24,0.239,10,6.72,3.2,10.39
Bug,High,2,1,5,0,1,Senior,25.78,0.87,75,0.386,13,2.39,9.37,10.91
Feature,High,8,5,4,1,0,Expert,20.96,1.88,93,0.371,0,21.07,1.6,45.12
Feature,Low,8,1,3,0,0,Senior,17.64,1.13,69,0.352,11,23.73,1.42,19.67
Feature,Medium,2,3,2,0,0,Junior,15.66,1.48,29,0.345,3,26.85,8.13,13.57
Improvement,Medium,3,4,1,1,4,Junior,8.42,2.19,96,0.258,11,3.98,4.73,33.21
Feature,High,2,2,2,0,1,Senior,39.0,3.47,78,0.463,12,6.84,9.25,18.13
Bug,High,1,5,1,0,0,Junior,5.47,1.95,92,0.445,5,7.2,3.71,10.15
Bug,Low,21,1,4,0,0,Senior,24.84,2.73,53,0.165,6,21.18,3.59,31.32
Bug,Low,5,4,3,1,3,Junior,38.46,1.34,77,0.402,10,31.25,9.61,42.02
Technical Debt,High,5,4,1,0,1,Expert,16.25,1.69,24,0.446,0,25.02,5.98,20.0
Spike,Medium,8,2,5,1,0,Junior,11.59,3.13,4,0.309,2,11.7,6.52,26.11
Bug,High,8,4,4,0,0,Senior,38.31,0.75,1,0.278,5,30.01,9.08,72.12
Technical Debt,Medium,8,2,1,0,2,Senior,32.47,6.54,79,0.336,12,23.77,4.43,70.77
Improvement,High,1,3,5,1,0,Expert,26.89,1.43,62,0.082,12,24.41,3.23,9.25
Bug,Low,2,2,4,0,0,Senior,25.26,0.29,53,0.044,5,33.55,6.14,6.39
Spike,Low,5,1,1,0,4,Expert,15.68,3.6,37,0.41,9,33.31,4.69,13.27
Feature,High,3,4,5,0,3,Senior,26.37,8.13,16,0.287,5,14.11,2.47,45.91
Feature,Critical,21,4,3,0,3,Junior,29.55,1.62,30,0.061,6,22.62,2.07,64.81
Technical Debt,Medium,5,4,4,0,0,Senior,3.21,0.78,0,0.208,10,7.87,7.53,12.33
Bug,Medium,13,2,1,1,0,Senior,6.47,1.35,5,0.149,6,15.01,1.31,12.91
Technical Debt,High,2,5,5,1,0,Senior,13.97,5.15,94,0.438,11,10.3,5.75,64.19
Technical Debt,Critical,8,2,3,0,2,Senior,14.28,0.78,69,0.254,9,13.49,3.97,19.43
Feature,High,3,1,5,1,1,Senior,36.22,1.1,35,0.289,14,23.96,2.36,28.35
Technical Debt,Critical,21,2,3,1,2,Junior,28.01,5.25,7,0.118,7,8.15,9.02,83.4
Bug,Low,2,4,1,0,3,Junior,16.19,1.34,92,0.4,10,7.13,7.66,11.35
Bug,Low,5,3,5,1,2,Expert,32.75,6.16,72,0.465,1,13.9,7.96,31.29
Bug,High,8,1,5,1,0,Senior,14.28,3.19,85,0.396,9,4.34,4.92,32.05
Spike,High,3,3,2,0,0,Junior,39.65,2.37,9,0.246,13,28.67,6.84,46.1
Feature,Medium,3,1,4,1,0,Junior,31.7,6.92,23,0.418,0,33.59,1.81,26.12
Bug,Medium,21,1,5,0,0,Junior,32.72,8.38,62,0.094,9,28.25,2.25,55.79
Improvement,High,3,4,3,1,0,Expert,11.92,0.23,39,0.057,13,19.07,3.9,25.54
Improvement,Low,5,2,4,0,2,Junior,7.51,0.2,1,0.219,14,23.92,5.12,16.1
Improvement,Medium,1,4,1,0,0,Senior,16.8,6.83,19,0.091,12,28.39,1.84,10.46
Feature,Medium,8,4,4,0,1,Junior,14.7,0.03,80,0.13,6,3.32,6.08,36.18
Feature,High,5,4,2,1,2,Senior,31.25,0.55,32,0.293,11,15.22,3.16,68.69
Feature,High,3,3,1,0,0,Junior,8.62,0.49,13,0.202,0,5.89,7.97,13.59
Technical Debt,Medium,1,1,5,0,0,Junior,22.04,1.65,95,0.433,1,4.09,1.0,7.55
Feature,High,5,5,1,1,0,Senior,25.87,2.2,53,0.113,0,26.81,8.79,57.53
Feature,High,1,2,1,1,0,Senior,16.64,0.44,54,0.498,13,30.17,7.59,8.58
Spike,Medium,1,4,2,0,1,Senior,9.62,3.88,36,0.18,11,3.85,5.92,14.83
Feature,High,5,1,3,0,1,Junior,36.04,0.81,87,0.258,11,7.08,7.64,29.87
Spike,Medium,2,2,1,0,1,Senior,7.28,5.73,83,0.066,0,8.51,4.28,8.71
Improvement,Low,2,5,3,0,0,Junior,13.54,3.67,5,0.29,2,30.14,2.46,20.75
Technical Debt,Low,5,5,4,1,0,Senior,30.75,0.68,32,0.481,3,32.06,1.08,61.72
Feature,Medium,1,4,2,0,1,Junior,25.0,1.79,49,0.375,4,27.01,5.94,9.06
Feature,Medium,3,5,5,0,0,Junior,29.76,0.73,91,0.122,4,28.08,3.63,34.57
Improvement,High,2,5,1,0,0,Junior,32.73,1.25,74,0.221,1,12.65,2.91,22.97
Technical Debt,High,5,2,3,1,2,Senior,36.02,5.9,99,0.213,10,14.88,8.8,80.9
Improvement,High,5,2,1,1,0,Senior,13.57,1.67,83,0.049,2,10.54,7.53,18.62
Feature,Medium,5,4,2,0,2,Senior,20.02,0.1,69,0.443,13,33.58,9.91,47.31
Improvement,Medium,3,1,5,0,0,Senior,28.16,8.51,71,0.191,7,25.74,6.95,19.1
Improvement,Medium,1,4,4,0,0,Junior,32.2,2.89,82,0.247,1,12.61,9.06,10.95
Improvement,Medium,1,3,4,0,1,Junior,23.96,0.71,78,0.146,3,5.61,2.07,7.56
Improvement,Low,3,5,3,0,2,Junior,21.52,2.53,85,0.076,6,7.62,7.5,24.52
Technical Debt,High,13,1,4,0,2,Junior,28.29,1.77,50,0.451,8,7.94,1.78,46.29
Bug,Critical,2,2,3,0,0,Junior,16.52,1.08,65,0.019,2,21.9,1.85,13.25
Feature,Medium,3,3,5,0,3,Junior,35.96,0.84,60,0.2,2,31.7,8.72,24.71
Bug,Low,2,3,1,0,0,Expert,10.06,0.05,27,0.365,6,30.54,4.24,6.37
Feature,High,5,5,2,1,0,Senior,35.59,3.54,99,0.154,7,3.37,3.85,66.24
Bug,Medium,5,2,5,1,0,Senior,26.46,0.67,99,0.223,13,25.11,2.65,38.55
Bug,High,5,1,5,0,0,Senior,24.83,0.72,43,0.282,3,6.7,5.36,21.31
Feature,High,8,2,4,0,1,Expert,19.86,2.35,81,0.498,13,11.55,2.83,32.77
Feature,Critical,3,5,4,1,0,Senior,7.88,1.11,11,0.379,0,19.49,5.84,26.61
Feature,Medium,2,3,2,0,3,Junior,34.87,3.91,82,0.484,4,29.59,6.94,20.05
Technical Debt,High,3,5,1,0,1,Expert,4.0,0.41,56,0.347,10,9.05,6.89,8.62
Spike,Medium,5,4,5,0,2,Senior,12.26,4.9,25,0.135,13,30.71,4.28,37.47
Feature,High,5,3,4,0,1,Senior,6.17,1.62,24,0.144,14,25.98,7.34,14.25
Spike,Medium,5,5,5,1,1,Senior,6.06,2.42,91,0.411,3,23.92,3.39,22.73
Bug,Medium,5,1,1,1,0,Senior,16.84,1.88,14,0.214,13,5.52,8.27,22.04
Feature,Medium,5,1,3,0,1,Senior,8.1,0.42,73,0.185,10,17.12,1.0,9.28
Feature,Medium,8,1,1,0,4,Senior,24.09,2.97,97,0.473,7,10.35,9.7,30.94
Bug,High,5,4,5,0,1,Junior,25.83,0.74,76,0.007,12,21.0,4.9,60.17
Improvement,High,8,2,5,1,0,Senior,35.52,1.84,79,0.262,6,23.9,4.01,82.2
Improvement,High,2,1,2,0,0,Expert,13.39,1.83,52,0.388,1,3.22,6.62,7.84
Feature,Low,5,4,5,0,3,Senior,13.75,0.82,94,0.368,5,22.9,8.91,35.48
Feature,High,13,1,4,0,0,Junior,11.36,1.32,64,0.184,3,17.94,4.17,16.04
Bug,Medium,3,4,2,0,2,Senior,31.71,1.31,53,0.268,6,29.52,1.63,16.92
Feature,High,8,1,5,0,0,Junior,18.27,3.09,86,0.003,8,27.97,4.18,23.44
Feature,Critical,5,2,1,0,0,Expert,22.99,0.43,77,0.267,6,15.04,1.05,18.93
Feature,Low,1,5,5,0,1,Senior,16.24,5.81,38,0.295,14,34.19,2.67,14.68
Technical Debt,High,5,1,1,0,0,Junior,7.96,4.47,93,0.437,1,20.95,1.47,8.64
Spike,Low,2,5,1,0,0,Senior,5.9,0.25,50,0.105,7,33.76,4.49,12.63
Bug,Medium,13,1,5,0,0,Senior,34.99,2.42,19,0.413,5,25.45,1.54,49.67
Spike,Medium,8,2,1,0,1,Junior,12.09,0.65,63,0.359,8,14.86,9.86,21.38
Feature,Low,2,5,3,1,0,Junior,37.78,2.37,88,0.333,6,8.95,8.04,24.61
Bug,High,2,4,2,0,0,Senior,38.0,4.05,10,0.197,4,16.82,4.78,15.06
Feature,Low,5,1,5,0,2,Expert,20.2,4.1,89,0.184,7,32.83,8.11,15.58
Bug,Medium,3,1,3,0,0,Junior,38.43,2.72,51,0.352,6,5.43,4.76,11.88
Spike,High,1,4,1,1,0,Senior,3.08,4.45,84,0.495,0,16.65,6.82,7.68
Bug,High,5,2,1,0,1,Senior,5.48,5.27,53,0.203,10,12.79,8.39,8.28
Feature,Critical,3,3,2,0,1,Junior,11.25,2.16,68,0.459,4,30.49,7.16,22.24
Bug,High,2,1,3,0,0,Junior,9.95,3.18,6,0.293,6,28.34,1.76,11.35
Feature,High,8,4,3,0,3,Junior,11.6,1.7,11,0.434,9,19.77,1.39,37.37
Technical Debt,Medium,13,3,5,0,1,Expert,19.19,1.42,1,0.109,6,15.11,6.13,29.68
Bug,Low,8,1,1,0,0,Expert,4.39,2.57,20,0.381,10,24.26,2.77,4.25
Bug,Low,8,5,4,0,1,Junior,23.1,2.02,95,0.417,13,33.4,9.86,78.21
Bug,Medium,2,4,5,0,0,Senior,13.76,0.97,68,0.416,2,4.44,1.15,15.37
Bug,High,3,5,5,0,0,Expert,4.72,0.29,90,0.392,4,31.56,7.74,9.52
Feature,Medium,2,2,5,1,3,Senior,30.62,1.92,94,0.152,7,11.0,1.38,18.13
Improvement,High,8,3,2,0,0,Junior,26.83,6.03,75,0.261,14,1.14,6.5,84.0
Feature,Medium,13,4,2,0,2,Junior,32.15,6.72,35,0.15,8,26.19,4.78,106.29
Improvement,Low,5,1,5,0,0,Senior,37.69,2.12,20,0.171,13,27.81,6.7,19.36
Technical Debt,Medium,8,1,4,0,0,Senior,24.26,1.26,52,0.151,8,11.36,7.86,31.91
Technical Debt,High,5,3,3,0,0,Senior,31.9,0.9,18,0.142,9,27.47,1.3,48.22
Bug,High,3,5,3,0,0,Senior,9.57,1.53,2,0.347,4,28.13,5.69,26.23
Bug,High,3,5,1,0,1,Junior,17.59,1.38,59,0.325,1,23.96,9.48,23.99
Feature,Low,1,4,3,0,1,Junior,22.14,0.47,80,0.102,7,2.31,2.96,6.27
Improvement,Critical,1,4,3,0,1,Expert,22.57,2.23,93,0.346,6,23.69,1.7,9.06
Feature,Medium,5,5,4,0,1,Expert,29.3,4.42,99,0.146,3,32.7,7.94,39.02
Bug,Low,3,4,3,1,1,Senior,32.25,3.24,72,0.101,4,22.09,7.67,18.07
Feature,Critical,5,5,4,1,2,Junior,27.34,0.32,33,0.374,11,13.48,4.51,111.25
Feature,Medium,5,3,2,0,0,Senior,3.8,1.42,28,0.181,9,20.16,8.47,7.97
Bug,High,3,4,4,0,2,Senior,15.35,1.63,73,0.285,11,34.77,5.9,26.1
Feature,Medium,3,5,2,1,0,Senior,23.75,0.74,56,0.1,11,17.07,5.28,33.15
Improvement,High,3,4,4,0,1,Expert,21.3,0.09,72,0.307,10,29.61,8.4,24.23
Feature,Critical,3,1,5,0,2,Junior,3.7,0.3,39,0.104,10,5.71,1.88,5.1
Feature,Medium,8,1,2,0,0,Senior,39.26,2.57,49,0.083,9,2.92,3.02,29.45
Bug,High,3,2,2,1,1,Junior,38.33,1.78,74,0.193,1,14.27,5.0,22.08
Feature,Medium,5,5,3,0,4,Senior,31.4,4.65,18,0.395,8,5.68,1.77,71.36
Feature,High,8,2,2,1,0,Senior,4.1,4.31,21,0.088,13,12.24,9.96,16.52
Improvement,Medium,8,5,4,1,2,Senior,18.35,2.71,50,0.059,11,25.32,3.82,74.25
Feature,Medium,8,4,5,1,0,Junior,17.57,3.07,48,0.016,14,16.15,9.53,90.92
Technical Debt,Medium,3,5,5,0,1,Senior,23.2,2.37,51,0.208,5,11.92,5.27,48.24
Feature,Medium,1,1,3,1,2,Expert,4.13,3.08,21,0.141,8,31.31,9.32,4.39
Feature,Critical,3,4,4,1,0,Senior,18.1,1.83,61,0.146,7,1.32,4.96,52.63
Improvement,Medium,3,1,4,1,0,Junior,30.8,1.73,59,0.491,0,28.68,8.33,18.21
Feature,Medium,13,4,1,0,0,Expert,39.92,9.62,79,0.097,12,22.12,7.76,67.46
Feature,Medium,5,5,2,0,0,Junior,24.63,0.32,80,0.229,8,2.58,9.52,45.79
Feature,Medium,1,5,3,1,0,Junior,37.74,2.42,6,0.493,8,2.16,6.74,18.55
Feature,High,2,1,5,0,2,Senior,39.94,0.64,52,0.015,3,6.84,3.04,9.1
Technical Debt,Critical,2,3,1,0,3,Junior,18.52,1.73,30,0.348,0,34.23,5.88,21.05
Feature,Medium,5,5,4,1,1,Senior,27.41,0.14,3,0.186,3,3.91,2.31,63.5
Improvement,High,5,3,2,1,2,Senior,10.1,4.46,92,0.453,5,26.12,4.01,28.62
Technical Debt,High,8,4,5,1,1,Junior,20.07,2.79,6,0.456,3,14.65,8.1,80.6
Bug,Medium,13,3,1,0,1,Senior,4.98,0.98,93,0.194,8,9.05,1.13,12.79
Spike,High,2,1,4,0,2,Junior,3.11,2.94,2,0.111,3,20.55,6.59,3.57
Feature,Medium,3,2,5,1,1,Senior,35.93,3.85,24,0.214,9,13.52,7.24,32.68
Spike,High,2,2,5,1,0,Junior,34.62,1.16,33,0.483,7,11.55,9.1,36.59
Feature,High,3,1,4,0,0,Junior,13.86,2.41,32,0.141,1,9.15,7.81,14.9
Improvement,Medium,13,2,4,0,2,Junior,19.36,3.61,94,0.491,11,16.57,4.63,48.86
Bug,Critical,5,1,3,0,0,Junior,20.76,2.4,87,0.41,6,6.77,7.89,28.72
Feature,High,5,5,5,0,0,Junior,21.79,3.12,37,0.134,7,29.97,6.63,75.05
Bug,Medium,3,3,4,0,1,Senior,7.11,1.25,3,0.396,13,21.12,6.28,19.37
Improvement,High,1,2,1,1,4,Senior,31.45,2.65,47,0.025,5,3.14,1.66,7.18
Feature,Medium,1,5,2,0,2,Junior,15.22,5.58,73,0.274,9,16.54,5.86,15.88
Feature,Critical,5,2,3,1,0,Junior,3.2,2.03,88,0.179,12,22.41,8.8,15.68
Improvement,High,5,4,4,1,1,Senior,27.71,0.99,60,0.213,5,30.29,4.93,75.46
Improvement,Low,2,1,2,0,3,Senior,33.54,1.31,64,0.236,7,1.8,7.34,5.69
Spike,Medium,5,1,3,0,1,Senior,36.89,0.81,80,0.251,2,16.51,9.13,30.88
Improvement,High,8,5,5,0,0,Expert,27.63,2.49,70,0.328,1,25.0,5.81,55.67
Spike,Low,3,4,2,1,1,Expert,9.27,4.05,77,0.348,8,7.67,1.79,24.79
Improvement,Low,5,3,3,0,0,Junior,24.41,2.36,60,0.488,7,8.53,1.49,43.56
Feature,Medium,3,4,4,0,3,Junior,36.65,4.63,0,0.381,9,17.65,8.18,36.42
Feature,Medium,5,4,4,0,2,Expert,15.32,2.98,5,0.344,4,31.07,1.29,26.63
Improvement,Medium,8,3,3,0,1,Junior,38.23,5.33,73,0.196,12,14.54,9.99,94.09
Bug,Medium,21,3,5,1,1,Senior,5.71,0.96,20,0.059,4,17.47,2.15,28.09
Feature,Medium,3,4,3,0,3,Expert,29.67,0.79,66,0.029,5,22.62,7.98,17.26
Feature,High,3,2,1,0,0,Senior,6.56,1.05,82,0.239,5,11.57,8.81,7.21
Spike,Medium,2,2,3,0,0,Junior,32.36,0.02,27,0.334,1,30.48,3.76,19.17
Bug,Medium,2,4,3,0,0,Senior,5.71,1.68,65,0.325,6,33.7,5.87,13.43
Bug,Medium,5,2,4,0,1,Junior,14.38,0.34,26,0.476,2,23.11,9.57,28.15
Bug,High,13,3,5,0,2,Expert,31.52,1.65,31,0.191,7,22.71,9.6,54.15
Feature,Low,3,3,3,0,1,Junior,19.49,2.85,11,0.314,8,23.9,9.37,25.97
Feature,Low,2,2,2,0,1,Senior,35.54,4.72,64,0.444,2,7.59,3.47,9.67
Feature,Low,3,3,4,0,0,Senior,17.27,3.82,45,0.202,5,25.9,1.54,17.93
Feature,High,3,1,4,0,0,Junior,39.81,7.57,39,0.239,7,12.8,1.93,24.34
Improvement,High,3,3,3,0,0,Junior,2.71,1.87,92,0.461,5,34.77,2.28,7.47
Bug,High,2,4,2,0,1,Junior,28.45,2.45,8,0.275,9,26.57,7.05,22.24
Technical Debt,High,5,5,3,1,2,Senior,36.8,5.51,81,0.4,2,20.85,8.22,112.26
Technical Debt,High,1,2,2,0,2,Expert,22.37,5.34,61,0.468,3,32.02,1.45,8.23
Feature,Medium,5,2,4,1,0,Junior,39.56,3.76,99,0.286,8,33.98,9.01,57.46
Improvement,High,8,3,2,0,0,Junior,28.9,5.08,15,0.055,11,28.81,7.73,81.26
Bug,Low,3,3,3,0,2,Senior,18.32,2.7,98,0.411,11,26.72,5.77,16.56
Technical Debt,High,5,5,1,0,0,Junior,21.58,2.75,99,0.409,10,3.06,9.91,62.65
Feature,High,5,5,1,0,0,Senior,35.34,2.68,67,0.057,11,25.0,3.39,49.13
Improvement,Medium,5,4,2,0,0,Junior,38.39,1.78,39,0.274,0,12.42,2.96,43.64
Bug,Medium,3,1,3,0,1,Senior,23.12,1.26,34,0.244,3,32.62,4.01,9.78
Feature,Medium,3,4,5,0,0,Junior,13.67,0.54,82,0.424,9,21.8,5.74,39.96
Feature,High,8,2,1,0,0,Junior,11.09,0.39,59,0.137,0,13.6,4.48,13.71
Improvement,High,8,3,4,1,1,Senior,20.13,1.45,69,0.213,7,12.53,8.47,52.03
Improvement,High,3,4,3,0,0,Junior,13.26,2.17,94,0.302,14,19.86,9.05,38.9
Feature,Medium,2,3,3,1,0,Expert,17.99,0.06,90,0.259,6,17.71,9.7,14.45
Bug,High,1,3,1,0,1,Senior,33.71,1.0,2,0.478,6,14.29,8.36,5.73
Feature,High,1,4,5,0,2,Junior,19.94,5.19,52,0.48,1,8.09,6.47,17.44
Improvement,High,5,4,4,0,0,Expert,26.35,2.01,99,0.041,9,28.08,6.52,37.64
Feature,Medium,1,5,5,0,0,Junior,5.42,0.58,58,0.149,14,15.74,2.68,12.62
Technical Debt,Medium,3,1,4,0,0,Senior,30.96,5.14,35,0.004,5,4.36,3.37,17.16
Feature,High,8,5,1,0,1,Senior,20.35,4.27,65,0.209,7,3.9,9.98,50.24
Feature,High,3,1,3,0,2,Junior,15.72,0.55,36,0.331,7,9.1,3.35,20.79
Feature,Critical,8,4,4,0,0,Expert,25.22,3.33,78,0.236,14,19.78,5.2,58.2
Feature,Low,5,1,3,0,0,Expert,5.88,4.61,86,0.034,4,6.03,4.47,4.3
Bug,Low,2,2,2,0,0,Senior,17.73,2.33,43,0.098,7,8.31,7.19,7.69
Feature,Critical,5,5,2,0,0,Senior,32.82,1.35,63,0.087,12,18.06,4.02,74.5
Technical Debt,Medium,5,5,1,0,0,Expert,11.96,4.77,50,0.256,1,8.4,7.15,24.29
Feature,High,3,5,1,0,3,Senior,36.74,0.46,5,0.339,13,30.17,9.65,34.1
Feature,Medium,2,3,1,0,1,Junior,24.94,2.02,96,0.158,3,21.06,3.27,11.61
Feature,Low,5,3,2,0,0,Senior,22.55,2.36,68,0.065,9,3.92,4.34,26.27
Feature,High,13,4,4,0,2,Expert,17.18,4.8,20,0.399,1,5.76,4.08,30.23
Feature,High,5,4,5,1,0,Expert,30.2,0.31,56,0.429,4,7.64,3.7,49.32
Bug,Medium,2,3,1,0,0,Expert,23.45,1.66,27,0.138,10,22.42,3.43,8.88
Bug,Medium,5,5,5,1,3,Junior,32.27,1.4,84,0.21,2,4.59,6.67,68.75
Bug,High,3,3,5,0,0,Senior,14.6,2.1,23,0.041,5,2.47,5.93,23.92
Bug,Low,5,1,2,0,3,Junior,28.68,4.93,91,0.114,6,25.77,5.58,15.93
Bug,High,5,5,4,0,1,Senior,37.85,2.29,74,0.384,5,17.26,8.21,49.75
Feature,Medium,5,3,2,0,4,Senior,12.64,0.28,62,0.183,10,29.86,2.32,20.2
Bug,High,8,4,1,1,2,Junior,39.28,0.38,21,0.302,1,27.96,2.53,70.67
Spike,Critical,5,3,2,0,0,Senior,17.6,0.25,33,0.473,1,10.3,5.62,28.81
Bug,High,5,2,2,0,2,Junior,3.46,6.19,36,0.362,14,7.54,4.18,9.77
Improvement,Medium,2,3,2,1,0,Junior,15.59,5.11,40,0.227,3,18.55,2.56,21.65
Feature,High,8,5,1,1,1,Senior,7.69,1.67,80,0.183,13,3.72,7.22,29.11
Improvement,Medium,13,3,1,1,1,Senior,13.56,3.62,78,0.095,6,22.52,5.46,33.25
Improvement,Medium,2,4,2,0,1,Junior,5.65,1.76,92,0.378,7,1.41,2.82,17.16
Bug,Critical,3,1,2,0,2,Junior,8.77,7.43,97,0.056,4,28.31,3.38,10.98
